Namn,Sålt,Exklusive-moms,Inklusive-moms,Month
Läsk,270,"7107,40kr","7960,00kr",August
"KAFFE,Espresso",166,"1330,32kr","1490,00kr",August
"PANINI,Italian Stallion",128,"9714,18kr","10880,00kr",August
"PANINI,Calles Cubano",101,"7665,09kr","8585,00kr",August
Strips,91,"3812,43kr","4270,00kr",August
"KAFFE,Bryggkaffe",68,"1517,77kr","1700,00kr",August
"PANINI,Jacks Bagnat",66,"5008,83kr","5610,00kr",August
Citron,66,"1473,12kr","1650,00kr",August
"PANINI,Peppes Pere",57,"4325,77kr","4845,00kr",August
"PANINI,Abbes Aubergine",48,"3642,75kr","4080,00kr",August
"KAFFE,Espresso m. Mjölk",47,"1259,03kr","1410,00kr",August
Lime,41,"915,13kr","1025,00kr",August
"P-PANINI,Italian Stallion",40,"1249,98kr","1400,00kr",August
"KAFFE,Dubbel Espresso",34,"758,88kr","850,00kr",August
GUTE,33,"1031,25kr","1155,00kr",August
"TRIUMF,Brynt Smör",29,"725,00kr","812,00kr",August
Bambini Panini,25,"1004,50kr","1125,00kr",August
"TRIUMF,Salt Lakrits",24,"600,00kr","672,00kr",August
"P-PANINI,Calles Cubano",21,"232,14kr","260,00kr",August
ÖL,18,"642,82kr","720,00kr",August
"P-PANINI,Abbes Aubergine",17,"910,69kr","1020,00kr",August
"P-PANINI,Peppes Pere",17,"910,70kr","1020,00kr",August
"P-PANINI,Jacks Bagnat",16,"857,13kr","960,00kr",August
"TRIUMF,Sandwich",14,"250,01kr","280,00kr",August
"TRIUMF,Skruven",14,"212,52kr","238,00kr",August
"TRIUMF,Sitting Bull",14,"200,04kr","224,00kr",August
"TRIUMF,Ananas Split",11,"157,18kr","176,00kr",August
"TRIUMF,Dumle",10,"250,00kr","280,00kr",August
"TRIUMF,Snickers",9,"192,86kr","216,00kr",August
Melonsallad,8,"214,32kr","240,00kr",August
"TRIUMF,Strawberry White",8,"214,30kr","240,00kr",August
"P-PANINI,Stoffe",7,"312,48kr","350,00kr",August
"SÖTA,Apolline",6,"133,92kr","150,00kr",August
"SÖTA,Cantuccini",3,"53,58kr","60,00kr",August
"SÖTA,Cannolo Siciliano",2,"53,57kr","60,00kr",August
