Namn,Sålt,Exklusive-moms,Inklusive-moms,Month
Läsk,75,"2009,02kr","2250,00kr",June
"PANINI,Italian Stallion",42,"3187,47kr","3570,00kr",June
"KAFFE,Bryggkaffe",40,"892,80kr","1000,00kr",June
GUTE,34,"1062,50kr","1190,00kr",June
"PANINI,Peppes Pere",29,"2200,84kr","2465,00kr",June
Citron,25,"558,01kr","625,00kr",June
Strips,23,"1026,74kr","1150,00kr",June
"KAFFE,Espresso m. Mjölk",18,"473,24kr","530,00kr",June
"P-PANINI,Stallion",16,"857,12kr","960,00kr",June
ÖL,16,"571,40kr","640,00kr",June
"TRIUMF,Skruven",15,"227,70kr","255,00kr",June
"PANINI,Calles Cubano",14,"1062,46kr","1190,00kr",June
"TRIUMF,Sitting Bull",12,"171,47kr","192,00kr",June
"TRIUMF,Dumle",11,"275,00kr","308,00kr",June
Lime,11,"245,52kr","275,00kr",June
"TRIUMF,Snickers",11,"235,72kr","264,00kr",June
"PANINI,Arons Aubergine",10,"758,91kr","850,00kr",June
"TRIUMF,Salt Lakrits",9,"225,00kr","252,00kr",June
"P-PANINI,Calles",8,"428,56kr","480,00kr",June
Kids Croque,8,"288,00kr","360,00kr",June
"TRIUMF,Brynt Smör",8,"200,00kr","224,00kr",June
"KAFFE,Dubbel Espresso",8,"178,56kr","200,00kr",June
"PANINI,Jacks Bagnat",7,"531,23kr","595,00kr",June
"P-PANINI,Peppes",7,"374,99kr","420,00kr",June
"P-PANINI,Aubergine",5,"267,85kr","300,00kr",June
Vitlöksbröd,5,"178,57kr","200,00kr",June
"TRIUMF,Sandwich",5,"89,30kr","100,00kr",June
"TRIUMF,Strawberry White",4,"107,15kr","120,00kr",June
"P-PANINI,Jacks",1,"53,57kr","60,00kr",June
"P-PANINI,Stoffe",1,"44,64kr","50,00kr",June
Läsk,675,"18081,32kr","20250,00kr",July
"PANINI, Italian Stallion",414,"31419,42kr","35190,00kr",July
"KAFFE, Espresso m. Mjölk",280,"7500,65kr","8400,00kr",July
"KAFFE, Bryggkaffe",238,"5312,17kr","5950,00kr",July
Strips,237,"10580,16kr","11850,00kr",July
"PANINI, Peppes Pere",235,"17834,51kr","19975,00kr",July
"PANINI, Calles Cubano",225,"17075,55kr","19125,00kr",July
Citron,204,"4553,31kr","5100,00kr",July
GUTE,150,"4687,50kr","5250,00kr",July
"PANINI,Jacks Bagnat",148,"11231,92kr","12580,00kr",July
ÖL,139,"4964,04kr","5560,00kr",July
Lime,124,"2767,71kr","3100,00kr",July
"PANINI,Abbes Aubergine",113,"8575,68kr","9605,00kr",July
Kids Croque,112,"4500,15kr","5040,00kr",July
"KAFFE,Dubbel Espresso",106,"2365,92kr","2650,00kr",July
"KAFFE,Espresso",92,"1232,03kr","1380,00kr",July
"SÖTA,Cannolo Siciliano",66,"1768,04kr","1980,00kr",July
"TRIUMF,Skruven",66,"1001,87kr","1122,00kr",July
"TRIUMF,Snickers",58,"1242,94kr","1392,00kr",July
"TRIUMF,Dumle",54,"1350,00kr","1512,00kr",July
"SÖTA,Apolline",50,"1116,00kr","1250,00kr",July
"TRIUMF,Brynt Smör",49,"1225,00kr","1372,00kr",July
Melonsallad,46,"1232,29kr","1380,00kr",July
"TRIUMF,Sandwich",42,"750,05kr","840,00kr",July
"TRIUMF,Salt Lakrits",41,"1025,00kr","1148,00kr",July
"P-PANINI,Italian Stallion",40,"2142,81kr","2400,00kr",July
"TRIUMF,Strawberry White",39,"1044,74kr","1170,00kr",July
Bambini Panini,37,"1486,65kr","1665,00kr",July
"SÖTA,Cannoli",37,"825,84kr","925,00kr",July
"P-PANINI,Jacks Bagnat",35,"1874,95kr","2100,00kr",July
"P-PANINI,Peppes Pere",34,"1821,38kr","2040,00kr",July
"SÖTA,Cantuccini",33,"589,34kr","660,00kr",July
"P-PANINI,Calles Cubano",32,"1714,24kr","1920,00kr",July
"TRIUMF,Ananas Split",31,"442,95kr","496,00kr",July
"P-PANINI,Abbes Aubergine",30,"1607,10kr","1800,00kr",July
"TRIUMF,Sitting Bull",30,"428,65kr","480,00kr",July
"TRIUMF,Lion",22,"648,15kr","726,00kr",July
"P-PANINI,Stoffe",16,"714,24kr","800,00kr",July
"SÖTA,Affogato",14,"375,03kr","420,00kr",July
"P-PANINI,Aubergine",9,"482,13kr","540,00kr",July
"P-PANINI,Stallion",8,"428,56kr","480,00kr",July
"PANINI,Arons Aubergine",7,"531,23kr","595,00kr",July
"P-PANINI,Calles",4,"214,28kr","240,00kr",July
"P-PANINI,Jacks",4,"214,28kr","240,00kr",July
Jakob möte,1,"160,00kr","200,00kr",July
Läsk,270,"7107,40kr","7960,00kr",August
"KAFFE,Espresso",166,"1330,32kr","1490,00kr",August
"PANINI,Italian Stallion",128,"9714,18kr","10880,00kr",August
"PANINI,Calles Cubano",101,"7665,09kr","8585,00kr",August
Strips,91,"3812,43kr","4270,00kr",August
"KAFFE,Bryggkaffe",68,"1517,77kr","1700,00kr",August
"PANINI,Jacks Bagnat",66,"5008,83kr","5610,00kr",August
Citron,66,"1473,12kr","1650,00kr",August
"PANINI,Peppes Pere",57,"4325,77kr","4845,00kr",August
"PANINI,Abbes Aubergine",48,"3642,75kr","4080,00kr",August
"KAFFE,Espresso m. Mjölk",47,"1259,03kr","1410,00kr",August
Lime,41,"915,13kr","1025,00kr",August
"P-PANINI,Italian Stallion",40,"1249,98kr","1400,00kr",August
"KAFFE,Dubbel Espresso",34,"758,88kr","850,00kr",August
GUTE,33,"1031,25kr","1155,00kr",August
"TRIUMF,Brynt Smör",29,"725,00kr","812,00kr",August
Bambini Panini,25,"1004,50kr","1125,00kr",August
"TRIUMF,Salt Lakrits",24,"600,00kr","672,00kr",August
"P-PANINI,Calles Cubano",21,"232,14kr","260,00kr",August
ÖL,18,"642,82kr","720,00kr",August
"P-PANINI,Abbes Aubergine",17,"910,69kr","1020,00kr",August
"P-PANINI,Peppes Pere",17,"910,70kr","1020,00kr",August
"P-PANINI,Jacks Bagnat",16,"857,13kr","960,00kr",August
"TRIUMF,Sandwich",14,"250,01kr","280,00kr",August
"TRIUMF,Skruven",14,"212,52kr","238,00kr",August
"TRIUMF,Sitting Bull",14,"200,04kr","224,00kr",August
"TRIUMF,Ananas Split",11,"157,18kr","176,00kr",August
"TRIUMF,Dumle",10,"250,00kr","280,00kr",August
"TRIUMF,Snickers",9,"192,86kr","216,00kr",August
Melonsallad,8,"214,32kr","240,00kr",August
"TRIUMF,Strawberry White",8,"214,30kr","240,00kr",August
"P-PANINI,Stoffe",7,"312,48kr","350,00kr",August
"SÖTA,Apolline",6,"133,92kr","150,00kr",August
"SÖTA,Cantuccini",3,"53,58kr","60,00kr",August
"SÖTA,Cannolo Siciliano",2,"53,57kr","60,00kr",August
